gene_id	transcript_id(s)	length	D71_r1	D71_r2	EPG1_r1	EPG1_r2	R_r1	R_r2	whole_brain1	whole_brain2
ERCC-00098	DQ459415	1143.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00099	DQ875387	1350.0	0.0	0.14	0.47	0.0	0.0	59.89	0.00	0.00
ERCC-00104	DQ516815	2022.0	0.05	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00108	DQ668365	1022.0	29.01	105.12	63.21	31.36	115.41	198.86	0.65	0.28
ERCC-00109	DQ854998	536.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00111	DQ883685	994.0	61.55	173.1	66.16	78.24	195.4	299.07	0.34	0.53
ERCC-00112	DQ459422	1136.0	3.4	5.39	1.54	1.7	41.96	27.56	0.00	0.00
ERCC-00113	DQ883663	840.0	355.91	436.08	269.85	254.82	885.23	921.05	1.49	1.15
ERCC-00116	DQ668367	1991.0	7.51	5.35	17.57	4.09	49.67	15.97	0.06	0.00
ERCC-00117	DQ459412	1136.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00120	DQ854992	536.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00123	DQ516782	1022.0	0.0	0.0	0.0	0.0	0.21	0.32	0.00	0.00
ERCC-00126	DQ459427	1118.0	0.09	0.0	7.25	0.0	0.0	0.0	0.00	0.00
ERCC-00130	EF011072	1059.0	1839.56	3413.88	2141.14	1487.38	3970.84	4426.32	15.47	13.76
ERCC-00131	DQ855003	771.0	4.16	22.84	1.03	2.56	1.8	58.97	0.00	0.00
ERCC-00134	DQ516739	274.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00136	EF011063	1033.0	98.23	200.95	265.98	57.5	184.06	326.78	1.03	0.95
ERCC-00137	DQ855000	537.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00138	DQ516777	1024.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00142	DQ883646	493.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00143	DQ668362	784.0	0.0	0.0	0.0	0.0	0.15	0.0	0.00	0.00
ERCC-00144	DQ854995	538.0	0.0	0.0	0.0	3.39	0.0	0.0	0.00	0.00
ERCC-00145	DQ875386	1042.0	57.4	147.37	63.23	17.98	225.53	139.07	0.32	0.72
ERCC-00147	DQ516790	1023.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00148	DQ883642	494.0	3.52	0.0	0.0	0.0	0.0	0.0	0.17	0.00
ERCC-00150	DQ883659	743.0	0.0	0.0	0.0	0.0	0.16	0.0	0.00	0.00
ERCC-00154	DQ854997	537.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00156	DQ883643	494.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00157	DQ839618	1019.0	8.81	0.1	3.12	0.0	0.21	0.0	0.00	0.00
ERCC-00158	DQ516795	1027.0	0.0	1.35	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00160	DQ883658	743.0	4.51	0.0	1.34	0.47	0.0	0.16	0.00	0.00
ERCC-00162	DQ516750	523.0	12.51	1.36	0.0	0.0	1.99	2.98	0.00	0.00
ERCC-00163	DQ668359	543.0	0.0	7.75	0.0	0.0	0.0	3.07	0.00	0.00
ERCC-00164	DQ516779	1022.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00165	DQ668363	872.0	5.13	1.4	2.21	4.14	19.08	13.49	0.08	0.00
ERCC-00168	DQ516776	1024.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
ERCC-00170	DQ516773	1023.0	1.68	0.97	0.37	0.11	13.44	3.61	0.00	0.00
ERCC-00171	DQ854994	505.0	224.34	471.95	432.58	178.93	701.3	621.74	1.14	1.13
FBgn0000003	FBtr0081624	299.0	4.96	1.14	13.43	0.32	0.62	43.86	9.27	14.22
FBgn0000008	FBtr0071763,FBtr0071764,FBtr0100521,FBtr0342981	3897.0	0.02	0.58	0.0	0.35	54.49	19.72	4.16	4.17
FBgn0000014	FBtr0083387,FBtr0083388,FBtr0300485,FBtr0306337	4555.25	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.28
FBgn0000015	FBtr0083381,FBtr0083382,FBtr0083383,FBtr0083384,FBtr0083385,FBtr0330709,FBtr0346764,FBtr0415463,FBtr0415464,FBtr0415465	4415.0	0.04	0.0	0.0	0.22	0.0	0.0	0.74	0.62
FBgn0000017	FBtr0075357,FBtr0112790,FBtr0330130,FBtr0330131,FBtr0330132,FBtr0330133,FBtr0330134,FBtr0330135,FBtr0330136,FBtr0345369	8658.8	6.74	7.58	4.4	22.48	2.05	6.85	21.95	21.50
FBgn0000018	FBtr0080168	1794.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.39
FBgn0000022	FBtr0070072	917.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.45
FBgn0000024	FBtr0082780,FBtr0300486,FBtr0335223	7816.62	47.71	36.78	72.22	97.19	36.18	53.98	183.48	175.86
FBgn0000028	FBtr0074015,FBtr0100326,FBtr0100328,FBtr0290063,FBtr0290064,FBtr0305189,FBtr0305190,FBtr0305191,FBtr0305192,FBtr0305193,FBtr0305194,FBtr0305195,FBtr0305196	4343.0	0.12	0.0	0.09	0.04	18.5	4.63	20.75	18.56
FBgn0000032	FBtr0085609,FBtr0085610	1889.0	1.04	0.43	0.09	3.69	0.0	8.8	3.00	2.78
FBgn0000036	FBtr0084619,FBtr0330310,FBtr0334916	11027.0	2.77	1.11	8.91	13.66	8.4	5.72	68.38	63.48
FBgn0000037	FBtr0072367,FBtr0072368	5403.72	19.06	12.54	14.15	12.06	9.49	27.88	32.55	32.78
FBgn0000038	FBtr0073299,FBtr0073300	1524.02	121.15	88.82	135.58	335.8	89.48	256.98	429.10	437.55
FBgn0000039	FBtr0084639,FBtr0084640	2345.36	3.25	1.4	0.0	0.75	6.83	5.3	12.29	11.17
FBgn0000042	FBtr0070822,FBtr0070823,FBtr0100662,FBtr0100663,FBtr0345894	1864.2	319.16	250.3	105.51	209.97	210.57	80.35	450.36	464.08
FBgn0000043	FBtr0086029	1626.0	12.52	10.28	6.17	20.73	0.0	0.0	3.30	3.95
FBgn0000044	FBtr0071519	1724.0	0.0	0.0	0.0	0.06	0.0	0.0	0.72	0.25
FBgn0000045	FBtr0078478,FBtr0334090	1581.0	0.0	0.0	0.0	0.0	0.53	0.0	0.58	0.77
FBgn0000046	FBtr0082785,FBtr0082786,FBtr0346242	1687.67	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.38
FBgn0000047	FBtr0083143	1595.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.17
FBgn0000052	FBtr0079219,FBtr0079220,FBtr0079221	4298.33	0.0	0.0	0.0	0.02	0.0	0.0	0.80	0.90
FBgn0000053	FBtr0079431,FBtr0100353,FBtr0339663	3584.67	0.0	2.49	0.0	0.04	0.0	0.0	0.97	0.48
FBgn0000055	FBtr0100589,FBtr0100590,FBtr0100591,FBtr0100593,FBtr0100594	1017.39	47.5	9.89	1.59	7.55	0.1	11.44	191.96	227.75
FBgn0000056	FBtr0006151,FBtr0100187,FBtr0343699	981.17	11.19	1.73	7.73	0.81	0.0	0.0	2.31	2.54
FBgn0000057	FBtr0086744,FBtr0340288	2241.0	1.76	0.28	0.42	1.78	2.54	0.0	2.35	3.04
FBgn0000061	FBtr0078053	1806.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.12
FBgn0000063	FBtr0083478,FBtr0331348	2113.0	0.57	10.25	1.06	0.57	0.0	0.0	1.59	1.54
FBgn0000064	FBtr0084994,FBtr0084995,FBtr0084999,FBtr0085000,FBtr0085001,FBtr0114544,FBtr0306657,FBtr0310660,FBtr0310661,FBtr0339614	2188.17	308.91	176.71	160.94	192.87	52.43	76.49	155.73	153.94
FBgn0000071	FBtr0081618,FBtr0081619,FBtr0081620	1633.67	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.11
FBgn0000075	FBtr0081153,FBtr0081154	1770.5	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.12
FBgn0000077	FBtr0071331,FBtr0307281	1316.5	0.0	0.0	0.6	0.0	0.0	0.0	1.29	1.50
FBgn0000078	FBtr0086983	1606.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.03
FBgn0000079	FBtr0087004,FBtr0345521	1631.5	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.03
FBgn0000083	FBtr0089517,FBtr0089518,FBtr0089519,FBtr0089520,FBtr0336797,FBtr0336798	1346.83	0.0	0.0	0.0	0.0	0.0	0.0	16.89	13.47
FBgn0000084	FBtr0070025,FBtr0301931	1246.03	5.49	13.22	12.73	1.36	1.7	7.8	2.65	3.63
FBgn0000092	FBtr0070504	1013.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.06
FBgn0000094	FBtr0085611,FBtr0346141	322.5	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0000097	FBtr0077850,FBtr0077851,FBtr0330658,FBtr0330659,FBtr0330660	4879.0	12.84	0.57	1.35	19.34	1.31	4.58	27.90	26.08
FBgn0000100	FBtr0078481,FBtr0334113	1314.65	15.73	12.02	20.44	26.55	10.18	8.65	12.00	10.33
FBgn0000108	FBtr0070109,FBtr0307291,FBtr0307292,FBtr0307293,FBtr0307294,FBtr0307295	5510.31	196.19	132.94	120.35	211.45	359.71	239.19	573.70	574.71
FBgn0000109	FBtr0089420,FBtr0346440,FBtr0346441	797.0	1.46	0.0	1.6	0.14	0.14	0.87	1.24	1.38
FBgn0000114	FBtr0080344,FBtr0080345,FBtr0080347,FBtr0300567,FBtr0331644,FBtr0331645,FBtr0331646,FBtr0331647,FBtr0331648,FBtr0331998	3475.41	2.17	0.23	0.2	2.96	20.89	16.03	29.14	27.62
FBgn0000115	FBtr0075517	863.0	0.48	0.0	0.89	4.72	0.0	0.0	4.49	3.27
FBgn0000116	FBtr0076543,FBtr0076544,FBtr0076545,FBtr0076546,FBtr0112791,FBtr0331550,FBtr0345030	1554.16	138.99	120.23	124.88	130.99	99.97	72.56	114.63	145.13
FBgn0000117	FBtr0089988,FBtr0089989,FBtr0089990,FBtr0089991,FBtr0089992,FBtr0332583	3122.83	22.82	17.95	51.23	29.33	8.8	28.88	38.85	40.37
FBgn0000119	FBtr0087702	6024.0	0.23	0.24	1.54	4.57	0.35	0.39	3.31	3.48
FBgn0000120	FBtr0081030,FBtr0307350,FBtr0340229	1706.0	0.0	0.0	0.0	0.0	0.0	0.0	7.68	9.12
FBgn0000121	FBtr0076599	1547.0	0.0	0.0	0.0	0.0	0.0	0.0	20.50	20.02
FBgn0000137	FBtr0070075	2430.0	0.0	0.0	0.0	0.0	0.0	6.63	0.37	0.13
FBgn0000139	FBtr0084659,FBtr0084660,FBtr0306171	1544.33	0.0	0.53	0.07	0.25	3.74	0.0	5.17	5.22
FBgn0000140	FBtr0084692	6338.0	0.1	0.11	0.0	0.0	0.0	0.0	0.12	0.12
FBgn0000146	FBtr0080165,FBtr0112793	2808.0	1.87	0.0	0.0	0.0	0.0	0.0	0.38	0.15
FBgn0000147	FBtr0082483	1577.0	2.05	1.95	0.92	0.0	0.72	1.17	0.40	0.62
FBgn0000150	FBtr0339146,FBtr0346150,FBtr0346611	634.0	7.49	1.58	3.82	12.28	0.0	0.0	4.86	6.65
FBgn0000152	FBtr0074372	2575.0	0.0	0.0	0.07	2.03	0.0	0.0	0.93	0.46
FBgn0000153	FBtr0080542,FBtr0309960,FBtr0342712	2062.33	0.0	1.02	0.0	0.0	0.0	0.0	10.90	9.55
FBgn0000157	FBtr0072378,FBtr0072379,FBtr0300076	2502.33	0.0	0.75	0.0	0.0	0.0	0.14	5.51	6.10
FBgn0000158	FBtr0084869	1894.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10	0.06
FBgn0000163	FBtr0074388,FBtr0111000,FBtr0343763,FBtr0343764	8505.0	0.0	0.0	0.0	0.0	0.0	0.28	0.43	0.38
FBgn0000166	FBtr0081664,FBtr0081665,FBtr0081666,FBtr0081667,FBtr0081668	1479.0	0.09	0.0	0.04	0.16	0.0	0.0	0.62	0.31
FBgn0000173	FBtr0073855,FBtr0300566,FBtr0307296,FBtr0332843,FBtr0332844	1085.74	54.4	67.25	46.8	74.23	8.3	0.5	48.03	53.27
FBgn0000179	FBtr0070672,FBtr0300608,FBtr0300609,FBtr0308914,FBtr0308915,FBtr0331162,FBtr0343569	4811.86	0.0	0.0	0.0	0.41	0.8	8.97	40.42	42.24
FBgn0000180	FBtr0079929,FBtr0329984	3276.0	37.82	38.55	1.07	0.03	23.61	0.77	0.88	1.13
FBgn0000181	FBtr0087782,FBtr0087783	1051.17	164.54	142.44	67.42	91.49	48.97	93.47	67.56	83.59
FBgn0000182	FBtr0080803,FBtr0080804,FBtr0080805	3623.33	0.0	0.0	0.0	0.03	0.0	0.0	0.05	0.03
FBgn0000183	FBtr0081002,FBtr0305688,FBtr0330225,FBtr0330226	4112.53	14.1	4.69	33.51	51.03	3.52	7.39	50.16	50.80
FBgn0000206	FBtr0084949	3013.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.46
FBgn0000212	FBtr0075523,FBtr0075524,FBtr0075525,FBtr0075526,FBtr0330160,FBtr0333580	5322.01	2.31	5.71	6.18	5.27	2.15	3.08	8.22	7.68
FBgn0000216	FBtr0075621	532.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.00
FBgn0000221	FBtr0070638	1450.0	0.13	0.0	0.0	0.0	0.0	0.0	0.39	0.49
FBgn0000227	FBtr0077423	1352.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.16
FBgn0000228	FBtr0079084,FBtr0079085,FBtr0302567,FBtr0302568,FBtr0310624,FBtr0310625,FBtr0342939	4091.79	9.59	14.82	7.28	3.49	4.6	0.39	10.87	11.07
FBgn0000229	FBtr0080087,FBtr0300982,FBtr0302378	1542.8	30.05	40.8	31.78	22.12	46.14	40.39	44.32	38.99
FBgn0000233	FBtr0071379	2934.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.60
FBgn0000239	FBtr0301342,FBtr0343875	2919.62	18.6	5.48	1.27	7.41	0.03	4.91	9.09	9.31
FBgn0000241	FBtr0072117,FBtr0346612	2618.0	0.0	0.07	0.0	1.06	0.37	0.0	0.36	0.17
FBgn0000244	FBtr0082119,FBtr0301093,FBtr0302382	4048.33	0.0	0.58	0.0	0.0	0.0	0.0	1.12	1.05
FBgn0000246	FBtr0083194,FBtr0083195,FBtr0083196	2613.33	0.0	0.0	0.0	0.15	0.0	0.0	2.35	2.00
FBgn0000247	FBtr0085484,FBtr0346613	7026.0	2.33	1.9	2.0	4.4	5.46	3.21	9.34	8.66
FBgn0000250	FBtr0080844,FBtr0080845,FBtr0080846,FBtr0080847,FBtr0337081	2050.64	15.65	21.11	9.87	1.54	52.69	13.25	14.15	14.81
FBgn0000251	FBtr0081412,FBtr0081413,FBtr0335152	2479.67	0.0	0.0	0.0	0.0	0.0	0.82	0.33	0.14
FBgn0000253	FBtr0088001,FBtr0088002,FBtr0304963,FBtr0304964,FBtr0345018	1858.77	190.26	135.06	490.97	598.56	608.47	379.92	2094.94	2282.35
FBgn0000256	FBtr0077511,FBtr0077512,FBtr0077513,FBtr0290077,FBtr0290078,FBtr0290079,FBtr0290080,FBtr0290081,FBtr0290082	4304.18	25.85	2.37	7.52	14.15	0.0	2.37	9.17	8.50
FBgn0000257	FBtr0074727,FBtr0074728,FBtr0331158	3097.0	0.15	0.26	0.0	0.57	0.38	1.48	1.34	1.80
FBgn0000259	FBtr0073558,FBtr0073560,FBtr0073561,FBtr0073562,FBtr0100540,FBtr0299569,FBtr0307896,FBtr0308084,FBtr0308085,FBtr0333204	2224.99	34.88	13.56	55.93	43.87	59.01	20.52	138.07	133.72
FBgn0000261	FBtr0075058	1993.0	0.0	2.38	0.39	0.66	1.47	0.1	3.96	4.70
FBgn0000273	FBtr0079851,FBtr0079852,FBtr0335495	5203.69	48.69	43.11	42.46	93.44	61.3	47.72	234.99	231.11
FBgn0000274	FBtr0085727,FBtr0335454	1347.5	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.00
FBgn0000276	FBtr0085612	339.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.27
FBgn0000277	FBtr0085614	355.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	1.26
FBgn0000278	FBtr0085640	425.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.18
FBgn0000279	FBtr0085616	386.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.00
FBgn0000280	FBtr0085613	166.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0000281	FBtr0089614	201.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0000283	FBtr0083126,FBtr0083127	4114.0	9.42	12.24	4.89	17.15	5.05	2.06	28.58	26.63
FBgn0000286	FBtr0089647,FBtr0089648,FBtr0089649,FBtr0304887,FBtr0336835,FBtr0472669	3901.23	10.4	17.52	5.13	18.11	7.17	7.04	39.00	38.80
FBgn0000287	FBtr0080235,FBtr0080236,FBtr0307093	4579.67	0.0	0.0	0.0	0.0	0.0	1.71	2.69	2.33
FBgn0000289	FBtr0087526,FBtr0087527,FBtr0087528,FBtr0087529,FBtr0112795,FBtr0290034,FBtr0290035,FBtr0339960,FBtr0339961,FBtr0339962,FBtr0346946	3735.47	22.14	35.06	8.02	28.9	47.15	7.57	54.47	56.27
FBgn0000299	FBtr0079001,FBtr0079002,FBtr0079003	5912.0	0.0	0.0	1.47	1.03	0.0	0.0	12.08	13.40
FBgn0000303	FBtr0089367,FBtr0089368	2860.32	4.72	0.09	50.27	48.59	15.89	4.61	43.55	44.49
FBgn0000307	FBtr0080838,FBtr0080839,FBtr0321313	6513.99	9.62	15.91	3.34	10.93	2.87	9.85	28.67	27.47
FBgn0000308	FBtr0079233,FBtr0079234,FBtr0079235,FBtr0079236,FBtr0309212,FBtr0309213	2014.64	140.15	28.05	33.24	80.66	4.36	71.93	178.32	184.89
FBgn0000316	FBtr0070064,FBtr0070065	2095.04	12.45	6.5	4.04	8.99	6.42	11.84	17.31	16.17
FBgn0000317	FBtr0080723,FBtr0080724,FBtr0343686,FBtr0343687	7242.0	0.0	0.02	0.0	0.0	0.0	0.0	1.40	1.14
FBgn0000318	FBtr0079095,FBtr0329967,FBtr0329968	615.0	11.13	3.27	6.15	30.47	3.6	100.31	22.01	22.85
FBgn0000319	FBtr0074179,FBtr0074180,FBtr0074181,FBtr0074182,FBtr0112797,FBtr0112798,FBtr0339445	5651.8	17.19	8.7	32.06	36.59	8.93	47.37	20.68	20.99
FBgn0000320	FBtr0079334,FBtr0079335,FBtr0306113	3075.67	0.0	0.0	0.0	0.0	0.0	0.0	2.17	1.92
FBgn0000326	FBtr0071687	1844.0	0.0	4.28	0.52	0.0	0.22	0.0	0.57	1.33
FBgn0000330	FBtr0071033,FBtr0332315	1774.0	5.23	0.77	2.48	3.18	0.0	18.85	6.79	8.10
FBgn0000337	FBtr0344723	1790.0	0.0	0.46	0.0	0.0	0.0	0.0	0.15	0.16
FBgn0000339	FBtr0080848,FBtr0080849,FBtr0337082	1132.0	1.75	14.72	0.0	10.97	0.64	0.0	14.59	14.93
FBgn0000346	FBtr0073754,FBtr0333329	3087.0	61.54	28.91	34.7	45.52	19.07	19.71	73.85	69.87
FBgn0000351	FBtr0079320,FBtr0333350	1621.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.00
FBgn0000352	FBtr0089015,FBtr0336916	4416.0	1.76	5.84	3.52	10.49	9.57	7.76	9.04	8.80
FBgn0000355	FBtr0076572	515.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0000356	FBtr0076574	522.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0000357	FBtr0076571	649.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.20
FBgn0000358	FBtr0076573	651.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00	0.00
FBgn0000359	FBtr0071203	1116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.00
FBgn0000360	FBtr0071204,FBtr0300448	1180.5	0.0	0.0	0.0	0.0	0.0	0.0	0.30	0.40
FBgn0000370	FBtr0081512,FBtr0081513,FBtr0332001,FBtr0332002	1989.52	40.61	17.7	19.29	14.13	1.78	8.39	61.57	65.31
FBgn0000376	FBtr0070495,FBtr0070496	3816.66	5.13	2.67	4.69	6.5	1.98	7.91	5.18	5.52
FBgn0000377	FBtr0070418	2332.0	0.51	2.35	1.5	0.38	0.0	0.0	2.54	2.31
FBgn0000382	FBtr0070378,FBtr0070379,FBtr0070380,FBtr0333260	6806.87	63.91	61.3	49.6	79.85	33.74	35.96	156.64	148.83
FBgn0000384	FBtr0111126,FBtr0334157	2172.35	5.22	9.62	9.76	3.48	2.56	25.85	22.15	21.29
FBgn0000392	FBtr0290322,FBtr0346452	4154.0	0.0	0.0	0.0	0.0	0.01	0.0	0.11	0.19
FBgn0000394	FBtr0070804,FBtr0340464,FBtr0340465	1647.67	0.0	0.0	0.0	0.05	0.0	0.05	1.34	1.44
FBgn0000395	FBtr0071610	4329.0	2.71	0.28	0.02	0.38	0.09	1.8	1.36	1.48
FBgn0000404	FBtr0076075,FBtr0304650	2916.0	1.55	0.0	0.0	0.0	0.0	0.0	0.49	0.58
FBgn0000405	FBtr0071911,FBtr0071913,FBtr0071914,FBtr0309858	2591.0	0.0	0.0	0.0	0.0	11.0	0.0	0.40	0.41
FBgn0000406	FBtr0080932,FBtr0331931	1511.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.59
FBgn0000411	FBtr0075746,FBtr0333034,FBtr0333035,FBtr0333036	2273.5	0.0	0.12	0.0	0.06	168.25	56.11	20.57	18.83
