gene_id	transcript_id(s)	length	Sample_20_5_7	Sample_20_5_8	Sample_20_6_1	Sample_20_6_2	Sample_20_6_3	Sample_20_6_4	current_symbol	FBgn	full_name	primaryID	GO_terms
ERCC-00084	DQ883682	994.0	3.89	0.0	0.0	0.0	0.0	7.67					
ERCC-00085	DQ883669	844.0	0.0	0.0	0.1	0.0	11.76	0.0					
ERCC-00086	DQ516791	1020.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00092	DQ459425	1124.0	11.37	61.58	7.37	8.01	4.87	70.21					
ERCC-00095	DQ516759	521.0	99.8	91.41	78.36	24.68	273.51	124.51					
ERCC-00096	DQ459429	1107.0	893.58	1813.5	910.06	630.73	2120.54	2604.2					
ERCC-00097	DQ516758	523.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00098	DQ459415	1143.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00099	DQ875387	1350.0	0.06	0.13	0.48	0.0	0.0	60.8					
ERCC-00104	DQ516815	2022.0	0.04	0.0	0.0	0.0	0.0	0.0					
ERCC-00108	DQ668365	1022.0	24.08	105.25	71.01	30.21	122.54	206.68					
ERCC-00109	DQ854998	536.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00111	DQ883685	994.0	65.4	169.3	66.26	76.05	188.9	298.0					
ERCC-00112	DQ459422	1136.0	4.79	5.67	1.22	1.28	43.3	29.31					
ERCC-00113	DQ883663	840.0	338.3	438.09	258.27	242.72	877.06	924.11					
ERCC-00116	DQ668367	1991.0	7.07	5.09	19.58	3.86	46.86	16.05					
ERCC-00117	DQ459412	1136.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00120	DQ854992	536.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00123	DQ516782	1022.0	0.0	0.0	0.0	0.0	0.38	0.38					
ERCC-00126	DQ459427	1118.0	0.16	0.0	7.56	0.0	0.0	0.0					
ERCC-00130	EF011072	1059.0	1824.2	3406.08	2127.43	1479.83	3957.63	4420.13					
ERCC-00131	DQ855003	771.0	5.29	23.49	1.5	2.57	0.97	48.0					
ERCC-00134	DQ516739	274.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00136	EF011063	1033.0	96.52	213.62	267.27	65.65	181.66	330.19					
ERCC-00137	DQ855000	537.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00138	DQ516777	1024.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00142	DQ883646	493.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00143	DQ668362	784.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00144	DQ854995	538.0	0.0	0.0	0.0	2.18	0.0	0.0					
ERCC-00145	DQ875386	1042.0	57.36	152.6	59.86	20.87	223.09	140.23					
ERCC-00147	DQ516790	1023.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00148	DQ883642	494.0	2.01	0.0	0.0	0.0	0.0	0.0					
ERCC-00150	DQ883659	743.0	0.0	0.0	0.0	0.0	0.42	0.0					
ERCC-00154	DQ854997	537.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00156	DQ883643	494.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00157	DQ839618	1019.0	10.88	0.0	3.39	0.0	0.1	0.0					
ERCC-00158	DQ516795	1027.0	0.0	1.2	0.0	0.0	0.0	0.0					
ERCC-00160	DQ883658	743.0	2.96	0.0	1.69	1.27	0.0	0.0					
ERCC-00162	DQ516750	523.0	12.53	1.82	0.0	0.0	3.57	1.78					
ERCC-00163	DQ668359	543.0	0.0	8.25	0.0	0.0	0.0	3.38					
ERCC-00164	DQ516779	1022.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00165	DQ668363	872.0	6.03	1.77	1.89	7.76	18.57	13.45					
ERCC-00168	DQ516776	1024.0	0.0	0.0	0.0	0.0	0.0	0.0					
ERCC-00170	DQ516773	1023.0	2.1	0.77	0.0	0.19	9.92	5.13					
ERCC-00171	DQ854994	505.0	207.09	485.68	443.32	171.27	682.83	623.95					
FBgn0000003	FBtr0081624	299.0	4.66	0.25	14.47	0.87	0.83	48.75	7SLRNA:CR32864	FBgn0000003	Signal recognition particle 7SL RNA CR32864		GO:0005786,GO:0006614
FBgn0000008	FBtr0071763,FBtr0071764,FBtr0100521,FBtr0342981	3897.0	0.02	1.02	0.02	0.27	53.4	18.16	a	FBgn0000008	arc	FBgn0034701,FBgn0034702	GO:0003674,GO:0048749,GO:0016324,GO:0005912
FBgn0000014	FBtr0083387,FBtr0083388,FBtr0300485,FBtr0306337	4555.25	0.0	0.02	0.0	0.0	0.0	0.0	abd-A	FBgn0000014	abdominal A		GO:0035053,GO:0007400,GO:0008354,GO:0001742,GO:0000978,GO:0007507,GO:0006915,GO:0045944,GO:0010002,GO:0007422,GO:0007399,GO:0000122,GO:0048636,GO:0043565,GO:0014019,GO:0007501,GO:0000981,GO:0035225,GO:0048738,GO:0007494,GO:0008406,GO:0035224,GO:0000987,GO:0003700,GO:0005704,GO:0048806,GO:0007280,GO:0042694,GO:0009952,GO:0006355,GO:0007438,GO:0005667,GO:0090575,GO:0005634,GO:0007506
FBgn0000015	FBtr0083381,FBtr0083382,FBtr0083383,FBtr0083384,FBtr0083385,FBtr0330709,FBtr0346764,FBtr0415463,FBtr0415464,FBtr0415465	4415.0	0.04	0.03	0.0	0.26	0.0	0.0	Abd-B	FBgn0000015	Abdominal B	FBgn0002692,FBgn0010098,FBgn0026843,FBgn0026859,FBgn0038456,FBgn0038457	GO:0008354,GO:0008584,GO:0000978,GO:0045843,GO:0007621,GO:0045944,GO:0007486,GO:1902339,GO:0030539,GO:0035263,GO:0045705,GO:0030540,GO:0035225,GO:0061101,GO:0007494,GO:0035224,GO:0003700,GO:0009997,GO:0035277,GO:0035261,GO:0005704,GO:0007280,GO:0007385,GO:0048094,GO:0000976,GO:0046693,GO:0005634,GO:0007424,GO:0007379,GO:0007506
FBgn0000017	FBtr0075357,FBtr0112790,FBtr0330130,FBtr0330131,FBtr0330132,FBtr0330133,FBtr0330134,FBtr0330135,FBtr0330136,FBtr0345369	8761.0	7.19	8.0	4.63	23.07	1.92	8.11	Abl	FBgn0000017	Abl tyrosine kinase	FBgn0024512,FBgn0036649	GO:0007391,GO:0005737,GO:0008360,GO:0046777,GO:0001764,GO:0005524,GO:0019897,GO:0007370,GO:0070938,GO:0005927,GO:0018108,GO:0030424,GO:0004715,GO:0048749,GO:0007417,GO:0048813,GO:0045179,GO:0005938,GO:0021785,GO:0004713,GO:0007303,GO:0005515,GO:0005911,GO:0016199,GO:0007411,GO:0008045,GO:0007409,GO:0010592,GO:0003401,GO:0032880,GO:0010977,GO:0005829,GO:0007611,GO:0046827,GO:0008064,GO:0045886,GO:0003382,GO:0072499,GO:0007419,GO:0031647,GO:0007268
FBgn0000018	FBtr0080168	1794.0	0.0	0.0	0.0	0.0	0.0	0.0	abo	FBgn0000018	abnormal oocyte	FBgn0032323	GO:0048477,GO:0000122,GO:0005700,GO:0003682,GO:0005634
FBgn0000022	FBtr0070072	917.0	0.0	0.0	0.0	0.0	0.0	0.0	ac	FBgn0000022	achaete		GO:0008407,GO:0007400,GO:0045944,GO:0000977,GO:0007422,GO:0007399,GO:0003677,GO:0061331,GO:0043565,GO:0007417,GO:0008134,GO:0007346,GO:0061382,GO:0003700,GO:0006963,GO:0006355,GO:0046982,GO:0006357,GO:0005667,GO:0090575,GO:0030182,GO:0005634,GO:0007419,GO:0007423,GO:0050767
FBgn0000024	FBtr0082780,FBtr0300486,FBtr0335223	7833.08	47.8	36.86	71.12	95.92	36.83	53.74	Ace	FBgn0000024	Acetylcholine esterase		GO:0005737,GO:0006581,GO:0003990,GO:0005886,GO:0004104,GO:0001507,GO:0042426,GO:0007268
FBgn0000028	FBtr0074015,FBtr0100326,FBtr0100328,FBtr0290063,FBtr0290064,FBtr0305189,FBtr0305190,FBtr0305191,FBtr0305192,FBtr0305193,FBtr0305194,FBtr0305195,FBtr0305196	4343.0	0.13	0.06	0.11	0.24	17.19	3.9	acj6	FBgn0000028	abnormal chemosensory jump 6	FBgn0004418,FBgn0030633	GO:0007636,GO:0070983,GO:0045944,GO:0043565,GO:0048813,GO:0007411,GO:0003700,GO:0050911,GO:0030154,GO:0008039,GO:0001228,GO:0003714,GO:0005634
FBgn0000032	FBtr0085609,FBtr0085610	1889.0	0.83	0.26	0.04	3.94	0.0	8.45	Acph-1	FBgn0000032	Acid phosphatase 1	FBgn0039729	GO:0070062,GO:0042803,GO:0003993,GO:0016311,GO:0005634
FBgn0000036	FBtr0084619,FBtr0330310,FBtr0334916	11027.0	3.02	1.13	9.04	13.79	8.78	6.0	nAChRalpha1	FBgn0000036	nicotinic Acetylcholine Receptor alpha1		GO:0022848,GO:0005887,GO:0050877,GO:0007165,GO:0005892,GO:0043005,GO:0007271,GO:0098655,GO:0030594,GO:0042391,GO:0034220,GO:0015464,GO:0017085,GO:0045202,GO:0045211,GO:0007268
FBgn0000037	FBtr0072367,FBtr0072368	5403.33	19.33	11.58	15.05	12.23	8.74	26.79	mAChR-A	FBgn0000037	muscarinic Acetylcholine Receptor, A-type		GO:0030425,GO:0005887,GO:0007197,GO:0007213,GO:0007200,GO:0030594,GO:0016907,GO:0008227,GO:0004930,GO:0016021,GO:0045202,GO:0004993,GO:0007268,GO:0007187
FBgn0000038	FBtr0073299,FBtr0073300	1514.7	121.26	91.77	135.63	328.78	84.93	252.0	nAChRbeta1	FBgn0000038	nicotinic Acetylcholine Receptor beta1		GO:0022848,GO:0005887,GO:0050877,GO:0007165,GO:0005892,GO:0043005,GO:0007271,GO:0030594,GO:0042391,GO:0034220,GO:0004888,GO:0045202,GO:0045211,GO:0007268
FBgn0000039	FBtr0084639,FBtr0084640	2343.35	3.09	1.69	0.0	0.97	7.03	4.37	nAChRalpha2	FBgn0000039	nicotinic Acetylcholine Receptor alpha2		GO:0022848,GO:0005887,GO:0050877,GO:0007165,GO:0005892,GO:0043005,GO:0007271,GO:0098655,GO:0030594,GO:0042391,GO:0034220,GO:0015464,GO:0045202,GO:0045211,GO:0007268
FBgn0000042	FBtr0070822,FBtr0070823,FBtr0100662,FBtr0100663,FBtr0345894	1876.23	314.95	248.44	109.01	205.19	215.3	83.07	Act5C	FBgn0000042	Actin 5C	FBgn0025223,FBgn0026673,FBgn0026683,FBgn0026712,FBgn0027215,FBgn0027255,FBgn0027284,FBgn0027327,FBgn0028278,FBgn0040144,FBgn0040204	GO:0035148,GO:0032507,GO:0031011,GO:0007291,GO:0006338,GO:0035060,GO:0000281,GO:0015629
FBgn0000043	FBtr0086029	1626.0	11.54	10.57	5.84	18.59	0.0	0.06	Act42A	FBgn0000043	Actin 42A		GO:0035060,GO:0000281,GO:0015629
FBgn0000044	FBtr0071519	1724.0	0.0	0.0	0.0	0.0	0.0	0.0	Act57B	FBgn0000044	Actin 57B	FBgn0019861,FBgn0050294,FBgn0065030	GO:0050807,GO:0005886,GO:0000281,GO:0015629
FBgn0000045	FBtr0078478,FBtr0334090	1581.0	0.0	0.0	0.0	0.0	0.9	0.0	Act79B	FBgn0000045	Actin 79B		GO:0000281,GO:0015629
FBgn0000046	FBtr0082785,FBtr0082786,FBtr0346242	1687.67	0.0	0.0	0.0	0.0	0.0	0.0	Act87E	FBgn0000046	Actin 87E	FBgn0038154	GO:0035267,GO:0016573,GO:0043486,GO:0000281,GO:0015629
FBgn0000047	FBtr0083143	1595.0	0.0	0.0	0.0	0.0	0.0	0.0	Act88F	FBgn0000047	Actin 88F		GO:0071689,GO:0014866,GO:0030016,GO:0030018,GO:0005865,GO:0000281,GO:0015629
FBgn0000052	FBtr0079219,FBtr0079220,FBtr0079221	4298.33	0.0	0.0	0.0	0.02	0.0	0.0	Pfas	FBgn0000052	Phosphoribosylformylglycinamidine synthase		GO:0004642,GO:0005737,GO:0009113,GO:0006164,GO:0006189
FBgn0000053	FBtr0079431,FBtr0100353,FBtr0339663	3584.67	0.0	2.26	0.0	0.0	0.0	0.0	Gart	FBgn0000053	GART trifunctional enzyme	FBgn0051628,FBgn0063628	GO:0046084,GO:0004641,GO:0005524,GO:0009113,GO:0006164,GO:0004637,GO:0005829,GO:0006189,GO:0046872,GO:0004644
FBgn0000055	FBtr0100589,FBtr0100590,FBtr0100591,FBtr0100593,FBtr0100594	1032.54	49.47	11.13	2.77	7.76	0.0	10.05	Adh	FBgn0000055	Alcohol dehydrogenase	FBgn0016704,FBgn0052954	GO:0006117,GO:0006066,GO:0032991,GO:0055114,GO:0016491,GO:0048149,GO:0042803,GO:0006069,GO:0046164,GO:0006067,GO:0004022,GO:0005829,GO:0008774
FBgn0000056	FBtr0006151,FBtr0100187,FBtr0343699	1057.06	9.96	1.61	7.07	0.48	0.0	0.0	Adhr	FBgn0000056	Adh-related	FBgn0052954	GO:0016491,GO:0005575,GO:0004022,GO:0051287
FBgn0000057	FBtr0086744,FBtr0340288	2241.0	1.64	0.25	0.41	1.4	3.11	0.0	adp	FBgn0000057	adipose	FBgn0034305,FBgn0061182	GO:0080008,GO:0005737,GO:0006629,GO:0003674,GO:0005975,GO:0009269,GO:0010891,GO:0010883,GO:0045717
FBgn0000061	FBtr0078053	1806.0	0.0	0.0	0.0	0.0	0.0	0.0	al	FBgn0000061	aristaless		GO:0032991,GO:0035015,GO:0000977,GO:0043565,GO:0035218,GO:0022416,GO:0000981,GO:0045892,GO:0005634,GO:0048800,GO:0007480
FBgn0000063	FBtr0083478,FBtr0331348	2113.0	0.78	11.06	1.21	0.89	0.0	0.0	Mps1	FBgn0000063	Monopolar spindle 1	FBgn0038534	GO:0044779,GO:0016321,GO:0033316,GO:0018105,GO:0000776,GO:0007059,GO:0005524,GO:0007094,GO:0034501,GO:0051321,GO:0004712,GO:0004674,GO:0007143,GO:0032837,GO:0001666,GO:0043060,GO:0005819,GO:0000705,GO:0005634,GO:0033046,GO:0000942,GO:0005813,GO:0048133
FBgn0000064	FBtr0084994,FBtr0084995,FBtr0084999,FBtr0085000,FBtr0085001,FBtr0114544,FBtr0306657,FBtr0310660,FBtr0310661,FBtr0339614	2198.3	303.16	173.36	161.92	197.42	52.31	77.13	Ald1	FBgn0000064	Aldolase 1	FBgn0064914	GO:0006096,GO:0042593,GO:0004332,GO:0031430,GO:0007498,GO:0030388,GO:0030018,GO:0005829
FBgn0000071	FBtr0081618,FBtr0081619,FBtr0081620	1633.67	0.0	0.0	0.0	0.0	0.0	0.0	Ama	FBgn0000071	Amalgam	FBgn0015757	GO:0005886
FBgn0000075	FBtr0081153,FBtr0081154	1770.5	0.0	0.0	0.0	0.0	0.0	0.0	amd	FBgn0000075	alpha methyl dopa-resistant	FBgn0032757	GO:0005737,GO:0036468,GO:0006520,GO:0016831,GO:0042424,GO:0004058,GO:0006584,GO:0030170,GO:0019239,GO:0042335,GO:0040003
FBgn0000077	FBtr0071331,FBtr0307281	1316.5	0.0	0.0	0.47	0.0	0.0	0.0	amx	FBgn0000077	almondex	FBgn0028503	GO:0045747,GO:0007498,GO:0046331,GO:0001713,GO:0044214
FBgn0000078	FBtr0086983	1606.0	0.0	0.05	0.0	0.0	0.0	0.0	Amy-d	FBgn0000078	Amylase distal	FBgn0014456	GO:0004556,GO:0003824,GO:0005975,GO:0005509,GO:0043169
FBgn0000079	FBtr0087004,FBtr0345521	1631.5	0.0	0.0	0.0	0.0	0.0	0.0	Amy-p	FBgn0000079	Amylase proximal	FBgn0014457,FBgn0035652,FBgn0042197	GO:0004556,GO:0003824,GO:0005576,GO:0005975,GO:0005509,GO:0043169
FBgn0000083	FBtr0089517,FBtr0089518,FBtr0089519,FBtr0089520,FBtr0336797,FBtr0336798	1346.83	0.0	0.0	0.0	0.0	0.0	0.0	AnxB9	FBgn0000083	Annexin B9		GO:0005737,GO:0048190,GO:0030011,GO:0030507,GO:0005509,GO:0005938,GO:0032509,GO:0005515,GO:0005544,GO:0012505
FBgn0000084	FBtr0070025,FBtr0301931	1246.1	4.73	11.22	14.98	1.37	2.28	8.27	AnxB10	FBgn0000084	Annexin B10		GO:0016020,GO:0005737,GO:0008150,GO:0005509,GO:0005544
FBgn0000092	FBtr0070504	1013.0	0.0	0.0	0.0	0.0	0.0	0.0	dyw	FBgn0000092	daywake		GO:0010841,GO:0007623,GO:0005615
FBgn0000094	FBtr0085611,FBtr0346141	322.5	0.0	0.0	0.0	0.0	0.0	0.0	Anp	FBgn0000094	Andropin		GO:0005576,GO:0050830,GO:0005615,GO:0006962,GO:0009617,GO:0032504
FBgn0000097	FBtr0077850,FBtr0077851,FBtr0330658,FBtr0330659,FBtr0330660	4879.0	11.68	0.73	1.1	17.65	0.77	4.34	aop	FBgn0000097	anterior open	FBgn0003123,FBgn0005623,FBgn0026827	GO:0048747,GO:0007391,GO:0090090,GO:0008543,GO:0007298,GO:0005654,GO:0007464,GO:0000978,GO:0001227,GO:0000977,GO:0003677,GO:0035157,GO:0000122,GO:0001709,GO:0035155,GO:0048010,GO:0090175,GO:0000981,GO:0060233,GO:0008406,GO:0045500,GO:0005515,GO:0007173,GO:0045892,GO:0030154,GO:0045677,GO:0010628,GO:0010629,GO:1903688,GO:0006357,GO:0001751,GO:0005829,GO:0006897,GO:0005634,GO:0008340,GO:0019904,GO:0050767
FBgn0000100	FBtr0078481,FBtr0334113	1264.87	18.25	12.68	19.83	29.17	9.43	7.98	RpLP0	FBgn0000100	Ribosomal protein LP0	FBgn0010752	GO:0003735,GO:0000027,GO:0002181,GO:0052720,GO:0022626,GO:0070180,GO:0022625
FBgn0000108	FBtr0070109,FBtr0307291,FBtr0307292,FBtr0307293,FBtr0307294,FBtr0307295	5498.84	193.66	134.57	119.91	212.91	358.31	236.87	Appl	FBgn0000108	beta amyloid protein precursor-like	FBgn0028498	GO:0043025,GO:0008201,GO:0007422,GO:0048812,GO:0005576,GO:0005886,GO:0030424,GO:0016319,GO:0005515,GO:1901215,GO:0007616,GO:0051602,GO:0016021,GO:0050808,GO:0007614,GO:0007611,GO:0048678,GO:0046914
FBgn0000109	FBtr0089420,FBtr0346440,FBtr0346441	797.0	1.06	0.0	1.66	0.13	0.64	0.45	Aprt	FBgn0000109	Adenine phosphoribosyltransferase	FBgn0035288,FBgn0063099	GO:0009116,GO:0005737,GO:0016208,GO:0003999,GO:0006168,GO:0044209,GO:0002055
FBgn0000114	FBtr0080344,FBtr0080345,FBtr0080347,FBtr0300567,FBtr0331644,FBtr0331645,FBtr0331646,FBtr0331647,FBtr0331648,FBtr0331998	3467.5	2.41	0.22	0.16	2.51	19.28	16.03	bru1	FBgn0000114	bruno 1	FBgn0015367,FBgn0045095,FBgn0045436,FBgn0051762,FBgn0063197	GO:0000381,GO:0005737,GO:0031536,GO:0031965,GO:0003729,GO:0048477,GO:0014881,GO:0045214,GO:1990904,GO:0036099,GO:0006376,GO:0017148,GO:0005515,GO:0016604,GO:0007319,GO:0043186,GO:2000738,GO:0007281,GO:0003723,GO:0003730,GO:0005634
FBgn0000115	FBtr0075517	863.0	0.86	0.0	1.21	3.77	0.0	0.0	Arl1	FBgn0000115	ADP ribosylation factor-like 1	FBgn0064936,FBgn0016902	GO:0005737,GO:0007269,GO:0033363,GO:0060628,GO:0003924,GO:0033227,GO:0035220,GO:0007030,GO:1903292,GO:0007431,GO:0005515,GO:0006886,GO:0005525,GO:0034067,GO:0016192,GO:0070861,GO:0030334,GO:0090158,GO:0048488,GO:0005802,GO:0019904,GO:0005794
FBgn0000116	FBtr0076543,FBtr0076544,FBtr0076545,FBtr0076546,FBtr0112791,FBtr0331550,FBtr0345030	1553.86	137.7	119.54	124.98	125.12	107.37	77.15	Argk	FBgn0000116	Arginine kinase	FBgn0035958,FBgn0052031	GO:0005737,GO:0004111,GO:0046314,GO:0005576,GO:0005886,GO:0016310,GO:0016301,GO:0005829,GO:0004054
FBgn0000117	FBtr0089988,FBtr0089989,FBtr0089990,FBtr0089991,FBtr0089992,FBtr0332583	3122.95	22.82	16.95	51.19	26.89	8.81	30.01	arm	FBgn0000117	armadillo	FBgn0029069,FBgn0040191,FBgn0045040	GO:0048526,GO:0019903,GO:0071896,GO:0007391,GO:0090254,GO:0048754,GO:0007507,GO:0007155,GO:0060070,GO:0045944,GO:0007399,GO:0045186,GO:0016028,GO:0048477,GO:0045893,GO:0000122,GO:0046530,GO:0098609,GO:0007370,GO:0045294,GO:0035293,GO:0005886,GO:0001709,GO:0000902,GO:0030424,GO:0005915,GO:0016342,GO:0014019,GO:0060914,GO:0035017,GO:0060232,GO:0008134,GO:0016324,GO:0060250,GO:0035019,GO:1990907,GO:0005515,GO:0007367,GO:0005912,GO:0045296,GO:0030139,GO:0046667,GO:0035147,GO:0007616,GO:0007472,GO:0019900,GO:0001745,GO:0005634,GO:0072659,GO:0035257,GO:0008587,GO:0003713,GO:0035153
FBgn0000119	FBtr0087702	6024.0	0.39	0.25	1.82	4.64	0.38	0.54	arr	FBgn0000119	arrow	FBgn0022055,FBgn0025707,FBgn0033841,FBgn0040307	GO:0017147,GO:0090254,GO:0042813,GO:0005769,GO:0060070,GO:0007399,GO:0005770,GO:0005886,GO:0048076,GO:0015026,GO:0005515,GO:0035223,GO:0007367,GO:0007616,GO:0001745,GO:0008587
FBgn0000120	FBtr0081030,FBtr0307350,FBtr0340229	1706.0	0.0	0.0	0.0	0.0	0.0	0.0	Arr1	FBgn0000120	Arrestin 1		GO:0005737,GO:0045494,GO:0016060,GO:0016028,GO:0016059,GO:0007608,GO:0002046,GO:0001664,GO:0002032,GO:0006897,GO:0002031
FBgn0000121	FBtr0076599	1547.0	0.0	0.0	0.0	0.0	0.0	0.0	Arr2	FBgn0000121	Arrestin 2		GO:0005737,GO:0045494,GO:0016060,GO:0016028,GO:0016059,GO:0016062,GO:0007608,GO:0005515,GO:0002046,GO:0001664,GO:0016029,GO:0002032,GO:0007605,GO:0002031
FBgn0000137	FBtr0070075	2430.0	0.0	0.0	0.0	0.0	0.0	7.79	ase	FBgn0000137	asense		GO:0008407,GO:0007400,GO:0045944,GO:0000977,GO:0007422,GO:0007399,GO:0003677,GO:0061331,GO:0007417,GO:0042803,GO:0045839,GO:0008134,GO:0022416,GO:0061382,GO:0003700,GO:0046982,GO:0006357,GO:0090575,GO:0030182,GO:2000177,GO:0005634,GO:0007423,GO:0050767
FBgn0000139	FBtr0084659,FBtr0084660,FBtr0306171	1544.33	0.0	0.4	0.26	0.6	3.79	0.0	ash2	FBgn0000139	absent, small, or homeotic discs 2	FBgn0060470	GO:0005703,GO:0007444,GO:0007474,GO:0007420,GO:0035209,GO:0048096,GO:0033128,GO:0003677,GO:0044665,GO:0051568,GO:0035075,GO:0051571,GO:0042800,GO:0044666,GO:0048813,GO:0005700,GO:0005515,GO:0010628,GO:0007476,GO:0048188,GO:0000976,GO:0010629,GO:0006357,GO:0005634,GO:0019899,GO:0002168
FBgn0000140	FBtr0084692	6338.0	0.07	0.05	0.0	0.0	0.0	0.0	asp	FBgn0000140	abnormal spindle	FBgn0014939,FBgn0062123	GO:0000132,GO:0030037,GO:0048132,GO:0007097,GO:0030723,GO:0007282,GO:0030954,GO:0000922,GO:0032027,GO:0048477,GO:0005875,GO:0005516,GO:0000226,GO:0048854,GO:0051383,GO:0007051,GO:0005815,GO:0008017,GO:0007052,GO:0051295,GO:0051642,GO:0005813,GO:0030706
